iter	Passed	Remaining
531	10804	29814
532	10822	29786
533	10842	29765
534	10863	29746
535	10888	29740
536	10914	29736
537	10926	29693
538	10952	29687
539	10965	29647
540	10974	29597
541	10998	29586
542	11025	29584
543	11038	29543
544	11067	29546
545	11077	29498
546	11108	29508
547	11136	29508
548	11170	29522
549	11196	29517
550	11212	29487
551	11237	29477
552	11263	29472
553	11288	29465
554	11302	29426
555	11327	29417
556	11338	29374
557	11368	29378
558	11381	29338
559	11410	29341
560	11430	29318
561	11458	29319
562	11472	29283
563	11503	29287
564	11531	29286
565	11541	29242
566	11567	29234
567	11594	29230
568	11619	29222
569	11629	29176
570	11657	29174
571	11681	29163
572	11708	29158
573	11737	29159
574	11766	29160
575	11794	29158
576	11820	29152
577	11849	29152
578	11879	29154
579	11906	29150
580	11930	29138
581	11944	29101
582	11967	29088
583	11980	29048
584	12006	29041
585	12040	29052
586	12068	29050
587	12104	29066
588	12117	29028
589	12145	29025
590	12171	29018
591	12200	29016
592	12224	29004
593	12246	28987
594	12255	28939
595	12266	28896
596	12293	28889
597	12317	28878
598	12331	28842
599	12359	28838
600	12384	28829
601	12395	28786
602	12412	28755
603	12436	28744
604	12463	28737
605	12477	28703
606	12501	28689
607	12532	28693
608	12561	28690
609	12589	28688
610	12618	28686
611	12644	28677
612	12672	28673
613	12709	28690
614	12739	28689
615	12763	28676
616	12787	28664
617	12810	28648
618	12836	28639
619	12853	28609
620	12865	28568
621	12877	28528
622	12904	28522
623	12935	28523
624	12959	28511
625	12984	28499
626	13003	28475
627	13019	28444
628	13046	28435
629	13078	28441
630	13106	28435
631	13132	28425
632	13158	28416
633	13184	28406
634	13210	28396
635	13234	28384
636	13258	28369
637	13283	28357
638	13308	28346
639	13332	28331
640	13357	28319
641	13383	28308
642	13396	28272
643	13421	28259
644	13430	28214
645	13455	28202
646	13481	28193
647	13506	28179
648	13529	28163
649	13554	28150
650	13578	28136
651	13603	28125
652	13628	28112
653	13654	28101
654	13678	28087
655	13706	28081
656	13766	28140
657	13801	28149
658	13827	28136
659	13851	28123
660	13878	28114
661	13903	28100
662	13915	28062
663	13940	28049
664	13966	28037
665	13992	28026
666	14008	27995
667	14040	27996
668	14070	27993
669	14097	27985
670	14122	27972
671	14145	27953
672	14167	27935
673	14189	27915
674	14211	27896
675	14234	27878
676	14242	27833
677	14269	27824
678	14293	27809
679	14315	27788
680	14338	27770
681	14361	27754
682	14384	27737
683	14409	27722
684	14430	27702
685	14454	27686
686	14478	27670
687	14502	27655
688	14524	27637
689	14548	27620
690	14573	27606
691	14594	27586
692	14615	27564
693	14639	27549
694	14664	27536
695	14686	27515
696	14711	27502
697	14739	27493
698	14763	27478
699	14790	27468
700	14814	27452
701	14837	27434
702	14864	27423
703	14886	27405
704	14911	27389
705	14932	27370
706	14956	27353
707	14981	27338
708	15004	27321
709	15029	27307
710	15048	27281
711	15072	27266
712	15099	27255
713	15126	27244
714	15153	27234
715	15181	27225
716	15211	27220
717	15238	27209
718	15261	27189
719	15286	27175
720	15310	27159
721	15337	27149
722	15362	27133
723	15385	27116
724	15410	27100
725	15434	27084
726	15459	27069
727	15483	27053
728	15507	27036
729	15533	27023
730	15558	27009
731	15584	26995
732	15609	26981
733	15633	26964
734	15656	26946
735	15680	26929
736	15696	26898
737	15720	26882
738	15743	26863
739	15770	26852
740	15786	26822
741	15810	26805
742	15834	26788
743	15858	26771
744	15885	26759
745	15905	26736
746	15932	26724
747	15955	26706
748	15982	26694
749	16010	26683
750	16033	26665
751	16057	26648
752	16084	26635
753	16109	26621
754	16133	26604
755	16159	26590
756	16183	26574
757	16209	26559
758	16232	26541
759	16256	26523
760	16281	26508
761	16307	26493
762	16333	26480
763	16358	26464
764	16383	26449
765	16409	26434
766	16437	26424
767	16465	26413
768	16491	26399
769	16516	26383
770	16544	26372
771	16571	26359
772	16599	26348
773	16628	26339
774	16652	26321
775	16676	26304
776	16702	26290
777	16724	26268
778	16746	26247
779	16767	26225
780	16795	26215
781	16818	26195
782	16841	26176
783	16866	26159
784	16891	26143
785	16914	26125
786	16941	26111
787	16966	26095
788	16988	26075
789	17010	26054
790	17031	26032
791	17054	26012
792	17082	26000
793	17104	25979
794	17125	25956
795	17145	25933
796	17166	25911
797	17187	25888
798	17208	25866
799	17229	25844
800	17251	25823
801	17272	25800
802	17292	25777
803	17313	25754
804	17335	25733
805	17355	25710
806	17377	25689
807	17398	25666
808	17419	25645
809	17442	25625
810	17464	25605
811	17489	25588
812	17515	25572
813	17540	25557
814	17571	25548
815	17601	25539
816	17624	25519
817	17647	25500
818	17671	25482
819	17696	25465
820	17719	25446
821	17743	25428
822	17769	25413
823	17795	25397
824	17820	25380
825	17845	25364
826	17873	25350
827	17931	25381
828	17971	25385
829	18023	25406
830	18047	25387
831	18078	25380
832	18123	25390
833	18156	25383
834	18178	25362
835	18201	25343
836	18225	25323
837	18246	25301
838	18271	25283
839	18294	25263
840	18310	25234
841	18332	25212
842	18354	25191
843	18378	25172
844	18400	25150
845	18414	25119
846	18433	25092
847	18459	25076
848	18486	25062
849	18510	25043
850	18532	25022
851	18562	25011
852	18594	25003
853	18621	24988
854	18649	24975
855	18675	24958
856	18702	24944
857	18727	24926
858	18746	24900
859	18769	24880
860	18793	24861
861	18824	24851
862	18843	24826
863	18868	24809
864	18895	24793
865	18912	24764
866	18936	24746
867	18954	24718
868	18978	24700
