iter	Logloss
0	0.6515821416
1	0.6217435898
2	0.5807052339
3	0.5485139221
4	0.5166111882
5	0.4841401938
6	0.4623356874
7	0.4392896163
8	0.4214108404
9	0.4020178586
10	0.3854227089
11	0.3717391201
12	0.3575726443
13	0.3438726906
14	0.3268986072
15	0.3125740814
16	0.2985792424
17	0.2880901945
18	0.2766105073
19	0.269181601
20	0.2597117491
21	0.2518191546
22	0.2452027073
23	0.2392581893
24	0.2353033963
25	0.2292465665
26	0.2232590372
27	0.2171610537
28	0.2127981396
29	0.2098518351
30	0.2056462333
31	0.2030585776
32	0.200999102
33	0.1967480714
34	0.194611469
35	0.1908679454
36	0.1888704985
37	0.1871133959
38	0.1857594125
39	0.1836726334
40	0.182235767
41	0.1804657118
42	0.1787150532
43	0.1757722259
44	0.1729785032
45	0.1709581127
46	0.1687271265
47	0.1663816751
48	0.16442372
49	0.1630855955
50	0.1616766422
51	0.1600652292
52	0.1588837007
53	0.158582766
54	0.1570669628
55	0.1567433203
56	0.1559695934
57	0.1548107511
58	0.1539464123
59	0.1527607734
60	0.151787397
61	0.1509952391
62	0.1499287072
63	0.1496492898
64	0.1488995094
65	0.1479594812
66	0.1473136319
67	0.1469928677
68	0.1462479892
69	0.1456512647
70	0.145416789
71	0.1448363589
72	0.1440668457
73	0.1439158897
74	0.1433141308
75	0.1431763336
76	0.1425058874
77	0.1417552867
78	0.1413465193
79	0.1406803461
80	0.1403751788
81	0.1399714576
82	0.1396416564
83	0.13909221
84	0.1387911012
85	0.1384876865
86	0.1381732044
87	0.1378872742
88	0.1376192929
89	0.1372850148
90	0.1371316636
91	0.1370599573
92	0.1368587695
93	0.136562188
94	0.1362960806
95	0.1361036129
96	0.1359464573
97	0.1357228043
98	0.1354721321
99	0.1353044922
100	0.1351140299
101	0.1348929919
102	0.1346720247
103	0.1345120011
104	0.1343168203
105	0.1341477729
106	0.1339500255
107	0.1337487924
108	0.1336539118
109	0.1336155734
110	0.1334359083
111	0.1333757142
112	0.1333038835
113	0.1332451601
114	0.1329585708
115	0.1328100162
116	0.1327432227
117	0.1326172261
118	0.1325694558
119	0.1323706017
120	0.1323138628
121	0.1322205969
122	0.1320860925
123	0.132040754
124	0.1319941618
125	0.131900924
126	0.1318727064
127	0.1317835058
128	0.1316031732
129	0.1315268564
130	0.131419947
131	0.1313121603
132	0.1312222746
133	0.1312121231
134	0.1311687195
135	0.131111689
136	0.1309167432
137	0.1308542835
138	0.1308175669
139	0.1307298774
140	0.130680709
141	0.1306591167
142	0.1306151663
143	0.1305633102
144	0.1303136499
145	0.1302827146
146	0.1302316814
147	0.1301441425
148	0.1301309772
149	0.1300750786
150	0.1299918171
151	0.129918835
152	0.1298776117
153	0.1297979695
154	0.1297633374
155	0.1296675383
156	0.1296005483
157	0.1295562436
158	0.1294710489
159	0.1294500027
160	0.1293909318
161	0.1293622613
162	0.129331433
163	0.1292679592
164	0.1292127195
165	0.1291865787
166	0.1291388119
167	0.1291044507
168	0.1290873014
169	0.1290674534
170	0.1290078749
171	0.1289632652
172	0.1289298611
173	0.1289070611
174	0.1288006705
175	0.1287910189
176	0.1286907971
177	0.1286620827
178	0.1286055452
179	0.1285637033
180	0.1284890615
181	0.128460527
182	0.1284464898
183	0.1284296952
184	0.1283963004
185	0.1283875163
186	0.1283729005
187	0.1283422599
188	0.1283232993
189	0.1283048832
190	0.128259248
191	0.1282282485
192	0.1282068989
193	0.1281836103
194	0.1280980148
195	0.1280780239
196	0.1280197754
197	0.1279882656
198	0.1279453476
199	0.1279111908
200	0.1278986586
201	0.1278926248
202	0.1278214473
203	0.1277417942
204	0.1277171854
205	0.1277058492
206	0.1276841681
207	0.1276824588
208	0.1276571528
209	0.1276239284
210	0.1276066312
211	0.127592273
212	0.1275832074
213	0.1275422465
214	0.127491826
215	0.1274728213
216	0.1273823344
217	0.1273565103
218	0.127311195
219	0.1272998264
220	0.1272442278
221	0.1272366792
222	0.1272049954
223	0.1271905458
224	0.1271523999
225	0.1271367867
226	0.1271160783
227	0.1270959369
228	0.1270835628
